Year,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster
1999-00,120.5,98.0,95.1,127.7,89.8,241.0,113.7,128.2,104.8,141.4,195.9,178.0,155.9,80.7,83.2,107.2,144.8,218.7,208.4,100.3,195.7,118.4,90.8,159.4,103.2,89.7,176.5,80.8,176.1,122.3,134.5,463.0
2000-01,123.6,95.7,96.3,122.7,88.5,238.5,105.4,126.7,101.9,131.3,188.0,171.8,149.2,81.4,87.8,108.7,135.2,202.2,198.6,96.8,188.7,110.3,88.0,158.0,105.2,84.9,160.0,77.2,177.9,116.5,129.8,424.4
2001-02,124.0,101.0,96.9,123.4,96.7,262.2,111.8,127.3,106.0,133.3,191.9,174.1,170.2,86.7,97.3,118.4,138.6,209.7,182.5,92.7,208.8,114.1,92.9,162.8,115.8,92.1,178.0,84.6,185.4,136.3,131.4,424.3
2002-03,122.6,107.1,90.1,124.3,102.1,264.2,115.1,129.8,107.0,140.9,186.1,174.4,173.8,92.2,95.7,118.2,151.4,218.9,194.8,95.8,198.5,113.4,93.8,161.2,117.6,95.8,179.3,82.7,198.6,144.2,131.7,414.0
2003-04,133.2,112.8,92.5,133.6,104.0,249.8,110.3,123.1,106.4,139.8,183.8,167.0,163.6,86.2,98.4,118.3,140.5,225.6,180.8,109.0,183.5,125.3,99.0,158.5,114.9,87.2,181.3,89.1,187.8,137.9,121.3,375.8
2004-05,129.5,117.0,85.4,132.6,103.5,219.1,103.8,117.4,99.7,137.3,170.9,157.7,157.0,83.7,94.9,111.8,127.2,209.9,161.8,103.9,166.9,138.0,91.5,143.3,105.2,85.4,170.1,93.6,172.0,131.1,113.6,369.8
2005-06,132.7,106.5,90.0,129.7,102.8,200.1,102.8,119.2,96.5,136.0,159.9,149.2,154.3,79.1,95.9,112.9,121.7,201.9,146.9,99.3,151.2,131.0,90.8,153.7,98.1,82.0,158.3,88.3,158.2,132.9,106.4,320.8
2006-07,127.9,90.4,76.1,110.2,94.4,201.1,92.6,116.5,94.1,127.5,141.5,145.0,131.2,70.8,87.6,110.6,107.3,190.2,147.2,85.3,138.6,124.6,83.5,138.0,96.4,73.5,148.4,84.3,149.4,125.4,104.5,297.4
2007-08,115.6,79.6,74.8,99.3,83.3,167.4,88.9,106.6,86.7,129.4,143.6,131.6,124.5,62.2,74.9,102.7,101.2,160.2,144.2,79.5,125.8,118.9,77.3,133.1,86.7,66.2,146.8,72.4,137.1,109.3,93.7,289.8
2008-09,115.9,77.8,71.3,93.5,86.4,162.5,93.9,101.1,82.5,119.6,128.6,129.5,112.0,65.5,77.7,97.4,99.8,153.0,135.2,72.4,121.7,118.4,77.3,121.2,92.0,65.0,141.8,74.4,119.5,108.4,85.2,289.6
2009-10,111.7,76.0,67.7,97.4,77.5,158.6,94.1,102.0,81.0,105.1,121.4,127.0,103.1,65.9,73.3,91.0,95.1,144.5,129.0,70.0,120.6,109.3,74.9,119.6,88.9,62.5,131.8,69.3,112.2,109.9,85.1,295.1
2010-11,104.9,73.1,59.6,96.8,71.4,159.3,90.2,104.9,76.9,96.8,115.9,133.5,97.3,63.1,74.4,87.3,95.7,140.3,132.0,70.3,119.8,105.9,73.9,114.9,89.1,63.0,127.7,65.5,115.3,108.4,81.7,294.7
2011-12,100.7,73.5,52.3,101.2,70.5,162.7,89.8,96.0,73.0,87.7,112.9,128.4,101.4,58.9,72.7,86.9,97.2,131.0,131.2,70.0,121.5,98.1,70.6,103.1,86.2,64.1,119.4,61.4,115.0,95.8,79.3,302.0
2012-13,90.5,69.7,52.7,86.6,64.5,146.0,84.3,88.1,71.0,81.2,110.3,121.1,90.3,55.5,68.7,73.2,86.9,132.0,133.6,62.2,112.5,87.8,66.1,101.0,78.8,62.4,111.6,57.8,110.6,93.2,82.5,277.0
2013-14,82.9,61.6,50.0,77.1,61.2,124.7,75.7,75.6,70.6,74.4,101.1,106.2,83.8,50.3,62.5,67.2,75.0,114.1,115.5,55.7,104.8,78.0,57.1,91.0,69.5,55.0,104.5,53.1,99.5,83.1,71.6,238.3
2014-15,81.8,61.8,51.2,78.2,63.6,121.0,76.6,75.8,68.7,78.2,97.7,113.5,89.0,50.1,62.0,75.2,78.4,118.6,120.6,57.5,103.7,75.7,59.7,89.3,68.7,55.7,99.6,55.4,96.2,77.5,72.4,206.8
2015-16,50.8,38.3,29.6,46.3,38.7,76.2,45.4,46.9,40.7,46.7,61.5,66.8,55.8,30.0,38.7,6.4,47.6,57.5,104.9,68.8,18.2,70.3,70.3,22.8,59.7,57.4,21.2,92.2,22.2,62.9,40.2,58.6
